㐀 qiu1
借 jie4
倠 sui1
倡 chang4 chang1
倢 jie2
倣 fang3 pang2
値 zhi2
倥 kong1 kong3
倦 juan4
倧 zong1
倨 ju4
倩 qian4 qing4
倪 ni2 ni4
倫 lun2
倬 zhuo1
倭 wei1 wo1 wo3
倮 luo3
倯 song1
倰 leng2 leng4 ling2
倱 hun4
倲 dong1
倳 zi4
倴 ben4
倵 wu3
倶 ju4 ju1
倷 nai4
倸 cai3
倹 jian3
债 zhai4
倻 ye1
值 zhi2 zhi4
倽 sha4
倾 qing1
偀 ying1
偁 cheng1
偂 jian1
偃 yan3
偄 nuan4
偅 zhong4
偆 chun3
假 jia3 jia4 xia2
偈 jie2 qi4 ji4
偉 wei3
偊 yu3 ju3
偋 bing3
偌 ruo4
偍 ti2
偎 wei1
偏 pian1
偐 yan4
偑 feng1
偒 tang3 dang4
偓 wo4
偔 e4
偕 xie2 jie1
偖 che3
偗 sheng3
偘 kan3
偙 di4
做 zuo4
偛 cha1
停 ting2
偝 bei4
偞 ye4
偟 huang2
偠 yao3
偡 zhan4
偢 chou3
偣 yan1
偤 you3
健 jian4
偦 xu1
偧 zha1
偨 ci1
偩 fu4
偪 bi1
偫 zhi4
偬 zong3
偭 mian3
偮 ji2
偯 yi3
偰 xie4
偱 xun2
偲 si1
偳 duan1
側 ce4 ze4
偵 zhen1 zheng1
偶 ou3
偷 tou1
偸 tou1
偹 bei4
偺 za2 zan2
偻 lv3 lou2
偼 jie2
偽 wei3 wei4
偾 fen4
偿 chang2
傀 gui1 kui3
傁 sou3
傂 zhi4
傃 su4
傄 xia1
傅 fu4 fu1
傆 yuan4
傇 rong3
傈 li4
傉 ru4
傊 yun3
傋 gou4
傌 ma4
傍 bang4 pang2
傎 dian1
傏 tang2
傐 hao4
傑 jie2
傒 xi1 xi2 xi4
傓 shan4
傔 qian4
傕 jue2
傖 cang1 cheng2
傗 chu4
傘 san3
備 bei4
傚 xiao4
傛 yong3 rong2
傜 yao2
傝 tan4 ta4
傞 suo1
傟 yang3
傠 fa1
傡 bing4
傢 jia1
傣 dai3
傤 zai4
傥 tang3
傧 bin4
储 chu3 chu2
傩 nuo2
傪 can1
傫 lei3
催 cui1
傭 yong1 yong2
傮 zao1 cao2
傯 zong3
傰 peng2
傱 song3
傲 ao4
傳 chuan2 zhuan4
傴 yu3
債 zhai4
傶 cou4
傷 shang1
傸 qiang3
傹 jing4 jiang1
傺 chi4
傻 sha3
傼 han4
傽 zhang1
傾 qing1
傿 yan4
僀 di4
僁 xi1
僂 lv3 lou2
僃 bei4
僄 piao4
僅 jin3 jin4
僆 lian2 lian3 lian4
僇 lu4
僈 man4
僉 qian1
僊 xian1
僋 tan4
僌 ying2
働 dong4
僎 zhuan4
像 xiang4
僐 shan4
僑 qiao2
僒 jiong3
僓 tui3 tui2
僔 zun3
僕 pu2
僖 xi1
僗 lao2
僘 chang3
僙 guang1
僚 liao2
僛 qi1
僜 deng4
僝 chan2
僞 wei3 wei4
僟 ji1
僠 fan1
僡 hui4
僢 chuan3
僣 jian4
僤 dan4
僥 jiao3
僦 jiu4
僧 seng1
僨 fen4
僩 xian4
僪 jue2
僫 e4
僬 jiao1 jiao4
僭 jian4
僮 tong2 zhuang4
僯 lin3
僰 bo2
僱 gu4
僳 su4
僴 xian4
僵 jiang1
僶 min3
僷 ye4
僸 jin4
價 jia4 jie5
僺 qiao4
僻 pi4
僼 feng1
僽 zhou4
僾 ai4
僿 sai4
儀 yi2
儁 jun4
儂 nong2
儃 chan2 tan3
億 yi4
儅 dang1 dang4
儆 jing3
儇 xuan1
儈 kuai4
儉 jian3
儊 chu4
儋 dan1
儌 jiao3 yao2
儍 sha3
儎 zai4
儐 bin4 bin1
儑 an4 e4
儒 ru2
儓 tai2
儔 chou2
儕 chai2
儖 lan2
儗 ni3
儘 jin3
儙 qian4
儚 meng2
儛 wu3
儜 ning2
儝 qiong2
儞 ni3 er3 nai3
償 chang2
儠 lie4
儡 lei3
儢 lv3
儣 kuang4
儤 bao4
儥 du2
儦 biao1
儧 zan3
儨 zhi2
儩 si4
優 you1
儫 hao2
儬 chen4
儭 chen4
儮 li4
儯 teng2
儰 wei3
儱 long3
儲 chu3 chu2
儳 chan4
儴 rang2
儵 shu1
儶 hui4
儷 li4
儸 luo2
儹 zan3
儺 nuo2
儻 tang3
儼 yan3
儽 lei3
儾 nang4
儿 er2 er5
兀 wu4
允 yun3
兂 zan1 zan3
元 yuan2
兄 xiong1
充 chong1
兆 zhao4
兇 xiong1
先 xian1
光 guang1
兊 dui4
克 ke4
兌 dui4
免 mian3
兎 tu4
兏 chang2
児 er2
兑 dui4 yue4 rui4
兒 er2 er5
兓 xin1
兔 tu4
兕 si4
兖 yan3
兗 yan3
兘 shi3
党 dang3
兛 qian1
兜 dou1
兝 fen1
兞 mao2
兟 shen1
兠 dou1
兢 jing1
兣 li3 ke4
兤 huang2
入 ru4
兦 wang2
內 nei4 na4
全 quan2
兩 liang3 liang4
兪 yu2 shu4
八 ba1
公 gong1
六 liu4 lu4
兮 xi1
兰 lan2
共 gong4 gong1
兲 tian1
关 guan1 wan1
兴 xing1 xing4
兵 bing1
其 qi2 ji1
具 ju4
典 dian3
兹 zi1 ci2
养 yang3 yang4
兼 jian1
兽 shou4
兾 ji4
兿 yi4
冀 ji4
冁 chan3
冂 jiong1
冄 ran3
内 nei4
冇 mao3
冈 gang1
冉 ran3
冊 ce4
冋 jiong1
册 ce4
再 zai4
冎 gua3
冏 jiong3
冐 mao4 mo4
冑 zhou4
冒 mao4 mou4 mo4
冓 gou4 gou1
冔 xu3
冕 mian3
冖 mi4
冗 rong3
冘 yin2 you2
写 xie3
冚 kan3
军 jun1
农 nong2
冝 yi2
冞 mi2
冟 shi4
冠 guan1 guan4
冡 meng2
冢 zhong3
冣 ju4
冤 yuan1
冥 ming2
冦 kou4
冨 fu4
冩 xie3
冪 mi4
冫 bing1
冬 dong1
冭 tai2
冮 gang1
冯 feng2 ping2
冰 bing1 ning2
冱 hu4
冲 chong1
决 jue2
冴 hu4
况 kuang4
冶 ye3
冷 leng3
冸 pan4
冹 fu2
冺 min3
冻 dong4
冼 xian3
冽 lie4
冾 xia2
冿 jian1
净 jing4
凁 shu4
凂 mei3
凃 tu2
凄 qi1
凅 gu4 he2
准 zhun3
凇 song1 song4
凈 jing4
凉 liang2 liang4
凊 qing4
凋 diao1
凌 ling2
凍 dong4
凎 gan4
减 jian3
凐 yin1
凑 cou4
凒 yi2
凓 li4
凔 cang1
凕 ming3
凗 cui2
凘 si1
凙 duo2
凚 jin4
凛 lin3
凜 lin3
凝 ning2
凞 xi1
凟 du2
几 ji1 ji3
凡 fan2
凢 fan2
凣 fan2
凤 feng4
凥 ju1
処 chu3 chu4 ju4
凨 feng1 feng3 feng4
凫 fu2
凬 feng1
凭 ping2
凮 feng1
凯 kai3
凰 huang2
凱 kai3
凲 gan1
凳 deng4
凴 ping2
凵 qu1
凶 xiong1
凷 kuai4
凸 tu1
凹 ao1 wa1
出 chu1
击 ji2 ji1
凼 dang4
函 han2
凾 han2
凿 zao2 zuo4
刀 dao1
刁 diao1
刂 dao1
刃 ren4
刄 ren4
刅 chuang1
分 fen1 fen4
切 qie1 qie4 qi4
刈 yi4
刉 ji1
刊 kan1
刋 qian4 kan1
刌 cun3
刍 chu2
刎 wen3
刏 ji1
刐 dan3
刑 xing2
划 hua2 hua4
刓 wan2
刔 jue2
刕 li2
刖 yue4
列 lie4
刘 liu2
则 ze2
刚 gang1
创 chuang4 chuang1
刜 fu2
初 chu1
刞 qu4
刟 ju1
删 shan1
刡 min3
刢 ling2
刣 zhong1
判 pan4
別 bie2
刦 jie2
刧 jie2
刨 pao2 bao4
利 li4
刪 shan1
别 bie2 bie4
刬 chan3
刭 jing3
刮 gua1
刯 gen1
到 dao4
刱 chuang4 chuang1
刲 kui1
刳 ku1
刴 duo4
刵 er4
制 zhi4
刷 shua1 shua4
券 quan4
刹 sha1 cha4
刺 ci4 qi4
刻 ke4
刼 jie2
刽 gui4
刾 ci4 qi4
刿 gui4
剀 kai3
剁 duo4
剂 ji4
剃 ti4
剄 jing3
剅 lou2
剆 gen1
則 ze2
剈 yuan1
剉 cuo4
削 xue1 xiao1
剋 ke4
剌 la4 la2
前 qian2
剎 sha1 cha4
剏 chuang4 chuang1
剐 gua3
剑 jian4
剒 cuo4
剓 li2
剔 ti1
剕 fei4
剖 pou1
剗 chan3
剘 qi2
剙 chuang4 chuang1
剚 zi4
剛 gang1
剜 wan1
剝 bo1 bao1
剞 ji1
剟 duo1
剠 qing2 lve4
剡 yan3 shan4
剢 zhuo2
剣 jian4
剤 ji4
剥 bo1 bao1 pu1
剦 yan1
剧 ju4
剨 huo4
剩 sheng4
剪 jian3
剫 duo2
剬 duan1 tuan2 zhi4
剭 wu1
剮 gua3
副 fu4
剰 sheng4
剱 jian4
割 ge1
剳 zha1
剴 kai3
創 chuang4 chuang1
剶 juan1
剷 chan3
剸 tuan2 zhuan1
剹 lu4
剺 li2
剻 fou2
剼 shan1
剽 piao4 piao1 piao2 biao3 biao1
剾 kou1
剿 jiao3 chao1
劀 gua1
劁 qiao1
劂 jue2
劃 hua4 hua2
劄 zha2 da2
劅 zhuo4
劆 lian2
劇 ju4
劈 pi1 pi3
劉 liu2
劊 gui4
劋 jiao3
劌 gui4
劍 jian4
劎 jian4
劏 tang1
劐 huo1
劑 ji4
劒 jian4
劓 yi4
劔 jian4
劕 zhi2
劖 chan2
劗 cuan2 jian3
劘 mo2
劙 li2
劚 zhu2
力 li4
劜 ya1
劝 quan4
办 ban4
功 gong1
加 jia1
务 wu4
劢 mai4
劣 lie4
劤 jin4
劥 keng1
劦 xie2
劧 zhi3
动 dong4
助 zhu4
努 nu3
劫 jie2
劬 qu2
劭 shao4
劮 yi4
劯 zhu1
劰 miao3
励 li4
劲 jing4 jin4
劳 lao2 lao4
労 lao2
劵 juan4 quan4
劶 kou3
劷 yang2
劸 wa1
効 xiao4
劺 mou2
劻 kuang1
劼 jie2
劽 lie4
劾 he2
势 shi4
勀 ke4
勁 jin4 jing4
勂 hao2
勃 bo2
勄 min3
勅 chi4
勆 lang2
勇 yong3
勈 yong3
勉 mian3
勊 ke4
勋 xun1
勌 juan4
勍 qing2
勎 lu4
勏 pou3
勐 meng3
勑 lai4 chi4
勒 le4 lei1
勓 kai4
勔 mian3
動 dong4
勖 xu4
勗 xu4
勘 kan1 kan4
務 wu4
勚 yi4
勛 xun1
勜 weng3
勝 sheng4 sheng1
勞 lao2 lao4
募 mu4
勠 lu4
勡 piao4
勢 shi4
勣 ji1
勤 qin2
勥 qiang3 jiang4
勦 jiao3 chao1
勧 quan4
勨 yang3
勩 yi4
勪 jue2
勫 fan2
勬 juan4
勭 tong2
勮 ju4
勯 dan1
勰 xie2
勱 mai4
勲 xun1
勳 xun1
勴 lv4
勵 li4
勶 che4
勷 rang2 xiang1
勸 quan4
勹 bao1
勺 shao2 zhuo2
勻 yun2
勼 jiu1
勽 bao4
勾 gou1 gou4
勿 wu4
匀 yun2
匃 gai4
匄 gai4
包 bao1
匆 cong1
匈 xiong1
匉 peng1
匊 ju2
匋 tao2
匌 ge2
匍 pu2
匎 an4
匏 pao2
匐 fu2
匑 gong1
匒 da2
匓 jiu4
匔 qiong1 qiong2
匕 bi3
化 hua4 hua1
北 bei3 bei4
匘 nao3
匙 chi2 shi5
匚 fang1
匛 jiu4
匜 yi2
匝 za1
匞 jiang4
匟 kang4
匠 jiang4
匡 kuang1
匢 hu1
匣 xia2
匤 qu1
匥 bian4
匦 gui3
匧 qie4
匨 zang1 cang2
匩 kuang1
匪 fei3 fei1
匫 hu1
匬 tou2
匭 gui3
匮 gui4 kui4
匯 hui4
匰 dan1
匱 gui4 kui4
匲 lian2
匳 lian2
匴 suan3
匵 du2
匶 jiu4
匷 qu2
匸 xi3
匹 pi3
区 qu1 ou1
医 yi4 yi1
匼 qia4 an3 ke1
匽 yan3
匾 bian3
匿 ni4
區 qu1 ou1
十 shi2
卂 xin4
千 qian1
卄 nian4
卅 sa4
卆 zu2
升 sheng1
午 wu3
卉 hui4
半 ban4
卋 shi4
卌 xi4
卍 wan4
华 hua2 hua4 hua1
协 xie2
卐 wan4
卑 bei1
卒 zu2 cu4
卓 zhuo1
協 xie2
单 dan1 shan4 chan2
卖 mai4
南 nan2 na1
単 dan1
卙 ji2
博 bo2
卛 shuai4
卜 bu3
卝 kuang4
卞 bian4
卟 bu3
占 zhan1 zhan4
卡 qia3 ka3
卢 lu2
卣 you3
卤 lu3
卥 xi1
卦 gua4
卧 wo4
卨 xie4
卩 jie2 bu4
卪 jie2
卫 wei4
卬 ang2 yang3
卭 qiong2
卮 zhi1
卯 mao3
印 yin4
危 wei1 wei2
卲 shao4
即 ji2
却 que4
卵 luan3
卶 shi4
卷 juan4 quan2
卸 xie4
卹 xu4
卺 jin3
卻 que4
卼 wu4
卽 ji2
卾 e4
卿 qing1
厀 xi1
厂 chang3 han4 an1
厃 zhan1
厄 e4
厅 ting1
历 li4
厇 zhe2
厈 han3 an4
厉 li4
厊 ya3
压 ya1 ya4
厌 yan4 ya1 yan1
厍 she4
厎 zhi3
厏 zha3
厐 pang2
厒 he2
厓 ya2 yai2
厔 zhi4
厕 ce4
厖 pang2 mang2
厗 ti2
厘 li2
厙 she4
厚 hou4
厛 ting1
厜 zui1
厝 cuo4
厞 fei4
原 yuan2 yuan4
厠 ce4
厡 yuan2
厢 xiang1
厣 yan3
厤 li4
厥 jue2
厦 sha4 xia4
厧 dian1
厨 chu2
厩 jiu4
厪 qin2 jin3
厫 ao2
厬 gui3
厭 yan4 ya1 yan1
厮 si1
厯 li4
厰 chang3
厱 lan2 qian1
厲 li4
厳 yan2
厴 yan3
厵 yuan2
厶 si1 mou3
厷 gong1
厸 lin2 mian3
厹 qiu2
厺 qu4
去 qu4
厽 lei3
厾 du1
县 xian4 xuan2
叀 zhuan1 hui4
叁 san1
参 can1 san1 shen1 den1 cen1 san3
參 can1 san1 shen1 den1 cen1
叄 can1 cen1 can4 shen1 san1 san3
叅 can1 can4 cen1
叆 ai4
叇 dai4
又 you4
叉 cha1 cha2 cha3 cha4 chai1 cha5
及 ji2
友 you3
双 shuang1
反 fan3 fan1
収 shou1
叏 guai4
叐 ba2
发 fa1 fa4 fa3 bo1
叒 ruo4
叓 shi4 li4
叔 shu1
叕 zhuo2
取 qu3 qu1
受 shou4
变 bian4
叙 xu4
叚 jia3 jia4 xia2
叛 pan4
叜 sou3
叝 gao4
叞 wei4
叟 sou3
叠 die2
叡 rui4
叢 cong2
口 kou3
古 gu3
句 ju4 gou1
另 ling4
叧 gua3
叨 dao1 tao1
叩 kou4
只 zhi3 zhi1
叫 jiao4
召 zhao4 shao4
叭 ba1 ba5
叮 ding1
可 ke3 ke4
台 tai2 yi2 tai1
叱 chi4
史 shi3
右 you4
叴 qiu2
叵 po3
叶 ye4 xie2 she4
号 hao4 hao2
司 si1
叹 tan4
叺 chi3
叻 le4
叼 diao1
叽 ji1
叿 hong1
吀 mie1
吁 yu4 xu1
吂 mang2
吃 chi1 ji1
各 ge4
吅 xuan1
吆 yao1
吇 zi3
合 he2 ge3
吉 ji2
吊 diao4
吋 cun4
同 tong2 tong4
名 ming2
后 hou4
吏 li4
吐 tu3 tu4
向 xiang4
吒 zha4 cha4 zha1
吓 xia4 he4
吔 ye3
吕 lv3
吖 a1
吗 ma5 ma2 ma3
吘 ou3
吙 xue1
吚 yi1
君 jun1
吜 chou3
吝 lin4
吞 tun1
吟 yin2
吠 fei4
吡 bi3
吢 qin4
吣 qin4
吤 jie4
吥 bu4
否 fou3 pi3
吧 ba5 ba1
吨 dun1
吩 fen1
吪 e2
含 han2
听 ting1 ting4 yin2
吭 hang2 keng1
吮 shun3
启 qi3
吰 hong2
吱 zhi1 zi1
吲 shen3 yin3
吳 wu2
吴 wu2
吵 chao3
吶 ne5 ne4 na4
吷 xue4
吸 xi1
吹 chui1 chui4
吺 dou1
吻 wen3
吼 hou3
吽 ou1 hong1 hou3 ou2
吾 wu2
吿 gao4
呀 ya1 ya5
呁 jun4
呂 lv3
呃 e4
呄 ge2
呅 mei2
呆 dai1 ai2
呇 qi3
呈 cheng2
呉 wu2
告 gao4
呋 fu1
呌 jiao4
呍 hong1
呎 chi3
呏 sheng1
呐 ne4 na4
呑 tun1
呒 fu3
呓 yi4
呔 dai1
呕 ou1 ou3 ou4
呖 li4
呗 bei5 bai4
员 yuan2 yun4
呙 kuai1 guo1 wai1
呛 qiang1 qiang4
呜 wu1
呝 e4
呞 shi1 chi1
呟 quan3
呠 pen1
呡 wen3
呢 ni2 ne5
呤 ling2 ling4 ling3
呥 ran3 ran2
呦 you1
呧 di3
周 zhou1
呩 shi4
呪 zhou4
呫 tie1 che4
呬 xi4
呭 yi4
呮 qi4
呯 ping2
呰 zi3
呱 gua1 gu1
呲 zi1
味 wei4
呴 xu1 hou3 hou1
呵 he1
呶 nao2
呷 xia1
呸 pei1
呹 yi4
呺 xiao1 hao2
呻 shen1
呼 hu1 xu1
命 ming4
呾 da2
呿 qu1
咀 ju3 zu3
咂 za1
咃 tuo1
咄 duo1
咅 pou4
咆 pao2
咇 bi4
咈 fu2
咉 yang1
咊 he2 huo4 huo2 he4
咋 zha4 ze2
和 he2 huo4 huo2 he4
咍 hai1
咎 jiu4 gao1
咏 yong3
咐 fu4
咑 que4 que1 jue2
咒 zhou4
咓 wa3
咔 ka3
咕 gu1
咖 ka1 ga1
咗 zuo3
咘 bu4
咙 long2
咚 dong1
咛 ning2
咝 si1
咞 xian4 xian2
咟 huo4
咠 qi4
咡 er4
咢 e4
咣 guang1
咤 zha4 cha4 zha1
咥 xi4 xi1 die2 zhi4
咦 yi2
咧 lie3 lie5
咨 zi1
咩 mie1
咪 mi1
咫 zhi3
咬 yao3 jiao1
咭 ji1
咮 zhou4
咯 ge1 ka3 lo5
咰 shuai4
咱 zan2 za2
咲 xiao4
咳 ke2 hai1 hai2 kai4
咴 hui1
咵 kua1
咶 huai4 hua2 shi4
咷 tao2
咸 xian2
咹 e4
咺 xuan3 xuan1
咻 xiu1 xu3
咼 wai1
咽 yan1 yan4 ye4
咾 lao3
咿 yi1
哀 ai1
品 pin3
哂 shen3
哃 tong2
哄 hong1 hong3 hong4
哅 xiong1
哆 duo1 chi3
哇 wa1 wa5
哈 ha1 ha3 ha4
哉 zai1
哊 yu4
哋 di4 dei1
哌 pai4
响 xiang3
哎 ai1
哏 hen3 gen2
哐 kuang1
哑 ya3 ya1 e4
哒 da1
哓 xiao1
哔 bi4
哕 yue3 hui4
哗 hua1 hua2
哙 kuai4
哚 duo3
哜 ji4
哝 nong2
哞 mou1
哟 yo5
哠 hao4
員 yuan2 yun4
哢 long4
哣 pou3
哤 mang2
哥 ge1
哦 o4 o2 e2
哧 chi1
哨 shao4
哩 li1 li5 li3
哪 na3 nei3 na5 ne2
哫 zu2
哬 he2
哭 ku1
哮 xiao1
哯 xian4
哰 lao2
哱 bo1
哲 zhe2
哳 zha1
哴 liang4 lang2
哵 ba1
哶 mie1
哷 le4
哸 sui1
哹 fou2
哺 bu3
哻 han4
哼 heng1
哽 geng3
哾 shuo1
哿 ge3 ke3
唀 you3
唁 yan4
唂 gu3
唃 gu3
唄 bei5 bai4
唅 han1 han2 han4
唆 suo1
唇 chun2
唈 yi4
唉 ai1 ai4
唊 jia2 qian3
唋 tu3
唌 xian2 yan2 dan4
唍 huan3
唎 li4 li1
唏 xi1
唐 tang2
唑 zuo4
唒 qiu2
唓 che1
唔 wu2
唕 zao4
唖 ya3
唗 dou1
唘 qi3
唙 di2
唚 qin4
唛 ma4
唝 hong3 gong4
唞 dou3
唠 lao2
唡 liang3
唢 suo3
唣 zao4
唤 huan4
唦 sha1
唧 ji1
唨 zuo3 zu3
唩 wo1
唪 feng3 beng3
唫 yin2
唬 hu3
唭 qi1
售 shou4
唯 wei2 wei3
唰 shua1
唱 chang4
唲 er2
唳 li4
唴 qiang4
唵 an3
唶 jie4 ji2 ze4
唷 yo1
唸 nian4
唹 yu1 yo1
唺 tian3
唻 lai3
唼 sha4 za1 qie4
唽 xi1
唾 tuo4
唿 hu1
啀 ai2
啁 zhou1 zhao1
啂 nou4
啃 ken3
啄 zhuo2 zhou4
啅 zhuo2
商 shang1
啇 di2
啈 heng4
啉 lan2 lin2
啊 a5
啋 xiao1
啌 xiang1 qiang1
啍 tun1
啎 wu3
問 wen4
啐 cui4
啑 sha4 die2
啒 hu1
啓 qi3
啔 qi3
啕 tao2
啖 dan4
啗 dan4
啘 ye4 wa1
啙 zi3
啚 bi3 tu2
啛 cui4
啜 chuo4
啝 he2
啞 ya3 ya1 e4
啟 qi3
啠 zhe2
啡 fei1 pei1
啢 liang3
啣 xian2
啤 pi2
啥 sha4
啦 la5 la1
啧 ze2
啨 qing1
啩 gua4
啪 pa1
啫 zhe3
啬 se4
啭 zhuan4
啮 nie4
啯 guo5
啰 luo1 luo2 luo5
啱 yan1
啲 di4
啳 quan2 jue2
啴 tan1 chan3
啵 bo5
啶 ding4
啷 lang1 lang2
啸 xiao4
啺 tang2
啻 chi4
啼 ti2
啽 an2
啾 jiu1
啿 dan4
喀 ka1 ke4 ke5
喁 yong2 yu2
喂 wei4
喃 nan2
善 shan4
喅 yu4
喆 zhe2
喇 la3
喈 jie1
喉 hou2
喊 han3
喋 die2 zha2
喌 zhou1
喍 chai2
喎 wai1
喏 re3 nuo4
喐 yu4
喑 yin1 yin4
喒 zan2
喓 yao1
喔 o1 wo1
喕 mian3
喖 hu2
喗 yun3
喘 chuan3
喙 hui4
喚 huan4
喛 huan4 yuan2 xuan3 he2
喜 xi3
喝 he1 he4
喞 ji1
喟 kui4
喠 zhong3
喡 wei3
喢 sha4
喣 xu3
喤 huang2
喥 du4
喦 nie4
喧 xuan1 xuan3
喨 liang4
喩 yu4
喪 sang1 sang4
喫 chi1 ji1
喬 qiao2
喭 yan4
單 dan1 shan4 chan2
喯 pen1
喰 can1
喱 li2
喲 yo5
喳 zha1 cha1
喴 wei1
喵 miao1
営 ying2
喷 pen1 pen4
喹 kui2
喺 xi4
喻 yu4 yu2
喼 jie2
喽 lou5 lou2
喾 ku4
喿 sao4
嗀 huo4
嗁 ti2
嗂 yao2
嗃 he4 xiao1 xiao4
嗄 a2 sha4
嗅 xiu4
嗆 qiang1 qiang4
嗇 se4
嗈 yong1
嗉 su4
嗊 hong3 gong4
嗋 xie2
嗌 yi4 ai4
嗍 suo1
嗎 ma5 ma2 ma3
嗏 cha1
嗐 hai4
嗑 ke4 he2
嗒 ta4
嗓 sang3
嗔 tian2 chen1
嗕 ru4
嗖 sou1
嗗 wa1
嗘 ji1
嗙 pang3
嗚 wu1
嗛 xian2 qian4 qian3 qie4
嗜 shi4
嗝 ge2
嗞 zi1
嗟 jie1 jue1
嗠 luo4
嗡 weng1
嗢 wa4
嗣 si4
嗤 chi1
嗥 hao2
嗦 suo1
嗨 hai1 hai3
嗩 suo3
嗪 qin2
嗫 nie4
嗬 he1
嗮 sai4
嗰 ge4
嗱 na2
嗲 dia3
嗳 ai4 ai3 ai1
嗵 tong1
嗶 bi4
嗷 ao2
嗸 ao2
嗹 lian2
嗺 cui1
嗻 zhe1
嗼 mo4
嗽 sou4
嗾 sou3
嗿 tan3
嘀 di2
嘁 qi1
嘂 jiao4
嘃 chong1
嘄 jiao1
嘅 kai3
嘆 tan4
嘇 san1
嘈 cao2
嘉 jia1
嘊 ai2
嘋 xiao1
嘌 piao1 piao4
嘍 lou5 lou2
嘎 ga1 ga3
嘏 gu3 jia3
嘐 xiao1 jiao1
嘑 hu1 hu4 la4
嘒 hui4
嘓 guo1
嘔 ou1 ou3 ou4 xu1 ou5
嘕 xian1
嘖 ze2
嘗 chang2
嘘 xu1
嘙 po2
嘚 de2 de1 dai1
嘛 ma5
嘜 ma4
嘝 hu2
嘞 lei5
嘟 du1
嘠 ga1 ga3
嘡 tang1
嘢 ye3
嘣 beng1
嘤 ying1
嘦 jiao4
嘧 mi4
嘨 xiao4 chi4
嘩 hua1 hua2
嘪 mai3
嘫 ran2
嘬 zuo1 chuai4
嘭 peng1
嘮 lao2
嘯 xiao4
嘰 ji1
嘱 zhu3
嘲 chao2 zhao1
嘳 kui4
嘴 zui3
嘵 xiao1
嘶 si1 xi1
嘷 hao2
嘸 fu3
嘹 liao2 liao4
嘺 qiao2
嘻 xi1
嘼 xiu4
嘽 tan1 chan3
嘾 tan2
嘿 hei1 mo4
噀 xun4
噁 e3 wu4
噂 zun3
噃 fan1
噄 chi1
噅 hui1
噆 zan3
噇 chuang2
噈 cu4
噉 dan4
噊 yu4
噋 tun1 kuo4
噌 cheng1 ceng1
噍 jiao4 jiao1
噎 ye1
噏 xi1
噐 qi4
噑 hao2
噒 lian2
噓 xu1
噔 deng1
噕 hui1
噖 yin2
噗 pu1
噘 jue1
噙 qin2
噚 xun2
噛 nie4
噜 lu1
噝 si1
噞 yan3
噟 ying4
噠 da1
噡 dan1 zhan1
噢 o1 yu3
噣 zhou4 zhuo2
噤 jin4
噥 nong2
噦 yue3 hui4
噧 hui4
器 qi4
噩 e4
噪 zao4
噫 yi1
噬 shi4
噭 jiao4
噮 yuan1
噯 ai3 ai4 ai1
噰 yong1
噱 jue2 xue2
噲 kuai4
噳 yu3
噴 pen1 pen4
噵 dao4
噶 ge2 ga2
噷 xin1 hen1
噸 dun1
噹 dang1
噻 sai5
噼 pi1
噽 pi3
噾 yin1
噿 zui3
嚀 ning2
嚁 di2
嚂 lan4 han3 lan2
嚃 ta4
嚄 huo4 huo1
嚅 ru2
嚆 hao1
嚇 xia4 he4
嚈 ya4
嚉 duo1
嚊 xi4
嚋 chou2
嚌 ji4
嚍 jin4
嚎 hao2
嚏 ti4
嚐 chang2
嚓 ca1
嚔 ti4
嚕 lu1
嚖 hui4
嚗 bo2
嚘 you1
嚙 nie4
嚚 yin2
嚛 hu4
嚜 mo4 me5 ma5
嚝 huang1
嚞 zhe2
嚟 li2
嚠 liu2 liu1
嚢 nang2
嚣 xiao1 ao2
嚤 mo2
嚥 yan4
嚦 li4
嚧 lu2
嚨 long2
嚩 fu2 po2
嚪 dan4
嚫 chen4
嚬 pin2
嚭 pi3
嚮 xiang4
嚯 huo4
嚰 mo2
嚱 xi4
嚲 duo3
嚳 ku4
嚴 yan2
嚵 chan2
嚶 ying1
嚷 rang3 rang1
嚸 dian3
嚹 la1
嚺 ta4
嚻 xiao1
嚼 jiao2 jue2 jiao4
嚽 chuo4
嚾 huan1
嚿 huo4
囀 zhuan4
囁 nie4
囂 xiao1
囃 ca4
囄 li2 lei1
囅 chan3
囆 chai4
囇 li4
囈 yi4
囉 luo1 lou2
囊 nang2
囋 zan4
囌 su1
囍 xi3
囏 jian1
囐 za2 zan2
囑 zhu3
囒 lan2
囓 nie4
囔 nang1
囗 wei2
囘 hui2
囙 yin1
囚 qiu2
四 si4
囜 nin2
囝 jian3 nan1
回 hui2
囟 xin4
因 yin1
囡 nan1
团 tuan2
団 tuan2
囤 dun4 tun2
囥 kang4
囦 yuan1
囧 jiong3
囨 pian1
囩 yun4
囪 cong1 chuang1
囫 hu2
囬 hui2
园 yuan2
囮 e2 you2
囯 guo2
困 kun4
囱 cong1 chuang1
囲 wei2
図 tu2
围 wei2
囵 lun2
囶 guo2
囷 qun1
囸 ri4
囹 ling2
固 gu4
囻 guo2
囼 tai1
国 guo2
图 tu2
囿 you4
圀 guo2
圁 yin2
圂 hun4
圃 pu3
圄 yu3
圅 han2
圆 yuan2
圇 lun2
圈 quan1 juan4
圉 yu3
圊 qing1
國 guo2
圌 chuan2 chui2
圍 wei2
圎 yuan2
圏 quan1
圐 ku1
圑 fu4
園 yuan2
圓 yuan2
圔 e4
